Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
ON881137.1,rhinovirus C5,GenBank,,"Xie,Z.","Beijing Pediatric Research Institute, Laboratory of Infection and Virology",China,2023-03-25,GY18212,Rhinovirus C,7113,complete,China,,Homo sapiens,oronasopharynx,2018-12-27
ON881138.1,rhinovirus C53,GenBank,,"Xie,Z.","Beijing Pediatric Research Institute, Laboratory of Infection and Virology",China,2023-03-25,GY17017,Rhinovirus C,7145,complete,China,,Homo sapiens,oronasopharynx,2017-12-18
OP610066.1,Rocahepevirus sp.,GenBank,,"Rodriguez,C., Marchand,S., Sessa,A., Cappy,P., Pawlotsky,J.M., Seng,S., Trawinski,E., Demontant,V., Ndebi,M., Boizeau,L.","Aphp Hopital Henri Mondor, Genobiomics",France,2023-03-08,22072190255_HEV-C,Rocahepevirus sp.,6962,complete,France,,Homo sapiens,,2022-07-08
OQ331222.1,rhinovirus C19,GenBank,,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2023-02-26,RvC19/USA/cf466/2020,Rhinovirus C,7076,complete,USA: WA,WA,Homo sapiens,,2020-03
OQ331223.1,rhinovirus C26,GenBank,,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2023-02-26,RvC26/USA/f25a5/2020,Rhinovirus C,7060,complete,USA: WA,WA,Homo sapiens,,2020-03
LC756672.1,rhinovirus A15,GenBank,,"Shirato,K., Suwa,R., Kawase,M., Kume,Y., Ono,T., Chishiki,M., Okabe,H., Norito,S., Sato,M., Sakuma,H., Suzuki,S., Hosoya,M., Hashimoto,K., Kawase,Y., Kume,M., Okabe,T.","Virology III; 4-7-1 Gakuen, Musashimurayama, Tokyo 208-0011",Japan,2023-02-22,HRV_A15_Fukushima_H739_2019,Rhinovirus A,7065,complete,Japan: Fukushima,,Homo sapiens,,2019
ON526744.1,Human hepatitis circovirus,GenBank,,"Rodriguez,C., Boizeau,L., NDebi,M., Trawinski,E., Seng,S., Demontant,V., Soulier,A., Marchand,S., Fourati,S., Chevaliez,S., Pol,S., Pawlotsky,J.-M.","APHP, Genomic Platform",France,2023-02-18,22048070001,Human hepatitis circovirus,2021,complete,France,,Homo sapiens,blood,2022-04-06
ON482334.1,Human papillomavirus 228,GenBank,,"Boukadida,C., Rincon-Rubio,A., Matias-Florentino,M., Perez-Garcia,M., Carranco-Arenas,A.-P., Paz-Juarez,H.E., Aguirre-Perez,T., Martinez-Mendoza,D., Sanchez-Cabral,O., Avila-Rios,S., Reyes-Teran,G.","Instituto Nacional de Enfermedades Respiratorias Ismael Cosio Villegas, Centro de Investigacion en Enfermedades Infecciosas",Mexico,2023-02-15,HPV/MEX/0816-030/2016,Human papillomavirus 228,7277,complete,Mexico,,Homo sapiens,oronasopharynx,2016
ON571595.1,Human astrovirus 5,GenBank,,"Huang,Z., Wu,B., Weng,Y.","Viral Disease Prevention and Control Laboratory, Fujian Provincial Center for Disease Control and Prevention",China,2023-02-15,2019/Fuzhou/289,Mamastrovirus hominis,6793,complete,China: Fuzhou,,Homo sapiens,feces,2019
LC753640.1,HBV genotype B4,GenBank,,"E,B., Ko,K., Kim,R., Nagashima,S., Ouoba,S., Hussain,M.R.A., Sato,T., Chuon,C., Abe,K., Sugiyama,A., Takahashi,K., Akita,T., Tung,R., Vichit,O., Hossain,M.S., Saphonn,V., Tanaka,J.","Department of Epidemiology, Infectious Disease Control and Prevention; 1-2-3, Kasumi, Hiroshima 734-8551",Japan,2023-02-11,CV20_1042,Hepatitis B virus,3215,complete,Cambodia,,Homo sapiens,blood,2020
LC753641.1,HBV genotype B2,GenBank,,"E,B., Ko,K., Kim,R., Nagashima,S., Ouoba,S., Hussain,M.R.A., Sato,T., Chuon,C., Abe,K., Sugiyama,A., Takahashi,K., Akita,T., Tung,R., Vichit,O., Hossain,M.S., Saphonn,V., Tanaka,J.","Department of Epidemiology, Infectious Disease Control and Prevention; 1-2-3, Kasumi, Hiroshima 734-8551",Japan,2023-02-11,CV20_1064,Hepatitis B virus,3215,complete,Cambodia,,Homo sapiens,blood,2020
LC753642.1,HBV genotype C1,GenBank,,"E,B., Ko,K., Kim,R., Nagashima,S., Ouoba,S., Hussain,M.R.A., Sato,T., Chuon,C., Abe,K., Sugiyama,A., Takahashi,K., Akita,T., Tung,R., Vichit,O., Hossain,M.S., Saphonn,V., Tanaka,J.","Department of Epidemiology, Infectious Disease Control and Prevention; 1-2-3, Kasumi, Hiroshima 734-8551",Japan,2023-02-11,CV20_1165,Hepatitis B virus,3215,complete,Cambodia,,Homo sapiens,blood,2020
ON677309.1,Human circovirus 1,GenBank,,"P,P., Fourgeaud,J., Rouzaud,C., Regnault,B., Da Rocha,N., Fontaine,H., Le Pavec,J., Dolidon,S., Garzaro,M., Chr,D., Morcrette,G., Molina,T.J., Ferroni,A., Leruez-Ville,M., Lortholary,O., Jamet,A., Eloit,M., Perot,P., Chretien,D.","Institut Pasteur, Virology Department",France,2023-02-10,,Circovirus human,2021,complete,France,,Homo sapiens,blood,2022-01-12
OQ348028.1,rhinovirus C11,GenBank,,"Sereewit,J., Goya,S., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2023-02-06,RvC11/USA/2022/01112,Rhinovirus C,7041,complete,USA: WA,WA,Homo sapiens,,2022-11
OP947883.1,Ilheus virus,GenBank,,"Plante,J.A., Plante,K.S., Popov,V.L., Shinde,D.P., Widen,S.G., Buenemann,M., Nogueira,M.L., Vasilakis,N.","University of Texas Medical Branch, World Reference Center for Emerging Viruses and Arboviruses",USA,2023-02-01,,Orthoflavivirus ilheusense,10759,complete,Ecuador: Hospital Militar,,Homo sapiens,,2004-03-01
OQ283123.1,Betapolyomavirus sp.,GenBank,,"Ding,Y.","Jiangsu University, school of medicine",China,2023-01-30,,Betapolyomavirus sp.,5120,complete,China,,Homo sapiens,,2021-12
OQ283125.1,Cressdnaviricota sp.,GenBank,,"Ding,Y., Xu,M., Zhang,W.","Jiangsu University, school of medicine",China,2023-01-30,swab01,Cressdnaviricota sp.,1934,complete,China,,Homo sapiens,feces,2021-12
OP207971.1,Echovirus E3,GenBank,,"Fall,A., Forman,M., Morris,C., Gniazdowski,V., Luo,C.H., Hanlon,A., Miller,H.H., Bergman,Y., Mostafa,H.H.","Johns Hopkins School of Medicine, Molecular Virology",USA,2023-01-28,JH-114/2019,Enterovirus B,7223,complete,USA,,Homo sapiens,blood,2019-08-02
OP962744.1,La Crosse virus,GenBank,,"Walsh,E., Torres,T.Z.B., R,C., Rueckert,C.","University of Nevada, Reno, Biochemistry and Molecular Biology",,2023-01-25,,Orthobunyavirus lacrosseense,6980,complete,USA,,Homo sapiens,brain,2012
OQ296619.1,Rubella virus genotype 1A,GenBank,,"Wanat,K., Perelygina,L., Chen,M., Hao,L., Abernathy,E., Bender,N., Shields,B., Wilson,B., Crosby,D., Routes,J., Samimi,S., Haun,P., Sokumbi,O., Icenogle,J., Sullivan,K., Rosenbach,M., Drolet,B.","Centers for Disease Control and Prevention, Division of Viral Diseases",USA,2023-01-25,,Rubivirus rubellae,9762,complete,USA,,Homo sapiens,skin,2018
OQ296621.1,Rubella virus genotype 2B,GenBank,,"Wanat,K., Perelygina,L., Chen,M., Hao,L., Abernathy,E., Bender,N., Shields,B., Wilson,B., Crosby,D., Routes,J., Samimi,S., Haun,P., Sokumbi,O., Icenogle,J., Sullivan,K., Rosenbach,M., Drolet,B.","Centers for Disease Control and Prevention, Division of Viral Diseases",USA,2023-01-25,WI7729,Rubivirus rubellae,9761,complete,USA,,Homo sapiens,skin,2019
OM735620.1,Rubella virus genotype 1B,GenBank,,"Chen,M.-H., Suppiah,S., Abernathy,E., Icenogle,J.","Centers for Disease Control and Prevention, Viral Vaccine Preventable Diseases Branch",USA,2023-01-17,,Rubivirus rubellae,9762,complete,Israel,,Homo sapiens,,1979
OM735624.1,Rubella virus genotype 1C,GenBank,,"Chen,M.-H., Suppiah,S., Abernathy,E., Icenogle,J.","Centers for Disease Control and Prevention, Viral Vaccine Preventable Diseases Branch",USA,2023-01-17,,Rubivirus rubellae,9762,complete,Panama,,Homo sapiens,,1999
OM735630.1,Rubella virus genotype 1D,GenBank,,"Chen,M.-H., Suppiah,S., Abernathy,E., Icenogle,J.","Centers for Disease Control and Prevention, Viral Vaccine Preventable Diseases Branch",USA,2023-01-17,,Rubivirus rubellae,9762,complete,Japan,,Homo sapiens,,1994
OM735632.1,Rubella virus genotype 1E,GenBank,,"Chen,M.-H., Suppiah,S., Abernathy,E., Icenogle,J.","Centers for Disease Control and Prevention, Viral Vaccine Preventable Diseases Branch",USA,2023-01-17,,Rubivirus rubellae,9762,complete,USA,,Homo sapiens,,2013-11
OM735642.1,Rubella virus genotype 1G,GenBank,,"Chen,M.-H., Suppiah,S., Abernathy,E., Icenogle,J.","Centers for Disease Control and Prevention, Viral Vaccine Preventable Diseases Branch",USA,2023-01-17,,Rubivirus rubellae,9760,complete,USA,,Homo sapiens,,2012
OM735651.1,Rubella virus genotype 1H,GenBank,,"Chen,M.-H., Suppiah,S., Abernathy,E., Icenogle,J.","Centers for Disease Control and Prevention, Viral Vaccine Preventable Diseases Branch",USA,2023-01-17,,Rubivirus rubellae,9760,complete,Belarus,,Homo sapiens,,2005
OM735654.1,Rubella virus genotype 1I,GenBank,,"Chen,M.-H., Suppiah,S., Abernathy,E., Icenogle,J.","Centers for Disease Control and Prevention, Viral Vaccine Preventable Diseases Branch",USA,2023-01-17,,Rubivirus rubellae,9760,complete,United Kingdom,,Homo sapiens,,1986
OM735656.1,Rubella virus genotype 1J,GenBank,,"Chen,M.-H., Suppiah,S., Abernathy,E., Icenogle,J.","Centers for Disease Control and Prevention, Viral Vaccine Preventable Diseases Branch",USA,2023-01-17,,Rubivirus rubellae,9762,complete,Bahrain,,Homo sapiens,,2011
OM735681.1,Rubella virus genotype 1F,GenBank,,"Chen,M.-H., Suppiah,S., Abernathy,E., Icenogle,J.","Centers for Disease Control and Prevention, Viral Vaccine Preventable Diseases Branch",USA,2023-01-17,,Rubivirus rubellae,9761,complete,China,,Homo sapiens,,2002
OM735684.1,Rubella virus genotype 2A,GenBank,,"Chen,M.-H., Suppiah,S., Abernathy,E., Icenogle,J.","Centers for Disease Control and Prevention, Viral Vaccine Preventable Diseases Branch",USA,2023-01-17,,Rubivirus rubellae,9761,complete,China,,Homo sapiens,,2001
ON873778.1,Echovirus E33,GenBank,,"Wang,W., Fan,H., Zhou,S., Li,S., Nigedeli,A., Zhang,Y., Sun,Q., He,Y., Guo,Q., Wang,X., Lu,H., Xiao,J., Zhao,H., Han,Z., Ji,T., Zhang,L., Yan,D.","Chinese Center for Disease Control and Prevention, Virus Disease Department",China,2023-01-15,,Enterovirus B,7394,complete,China,,Homo sapiens,oronasopharynx,2013-06-26
ON023011.1,Alphapolyomavirus quintihominis,GenBank,,"Pyoria,L., Pratas,D., Toppinen,M., Hedman,K., Sajantila,A., Perdomo,M.F.","University of Helsinki, Department of Virology",Finland,2023-01-14,AA-34,Alphapolyomavirus quintihominis,5392,complete,Finland,,Homo sapiens,,2015
OP970999.1,human papillomavirus 40,GenBank,,"Happel,A.-U., Balle,C., Havyarimana,E., Brown,B., Maust,B., Konstantinus,I.N., Feng,C., Yi,B.H., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Jaspan,H.B., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2023-01-14,UC015_LW_V3,Alphapapillomavirus 8,7909,complete,South Africa,,Homo sapiens,,2016-10-11
OP971005.1,Alphapapillomavirus 14,GenBank,,"Happel,A.-U., Balle,C., Havyarimana,E., Brown,B., Maust,B., Konstantinus,I.N., Feng,C., Yi,B.H., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Jaspan,H.B., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2023-01-14,UC084_LW_V1,Alphapapillomavirus 14,8033,complete,South Africa,,Homo sapiens,,2016-09-08
OP971006.1,Alphapapillomavirus 10,GenBank,,"Happel,A.-U., Balle,C., Havyarimana,E., Brown,B., Maust,B., Konstantinus,I.N., Feng,C., Yi,B.H., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Jaspan,H.B., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2023-01-14,UC084_LW_V1,Alphapapillomavirus 10,8031,complete,South Africa,,Homo sapiens,,2016-09-08
OP971007.1,human papillomavirus 30,GenBank,,"Happel,A.-U., Balle,C., Havyarimana,E., Brown,B., Maust,B., Konstantinus,I.N., Feng,C., Yi,B.H., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Jaspan,H.B., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2023-01-14,UC084_LW_V1,Alphapapillomavirus 6,7881,complete,South Africa,,Homo sapiens,,2016-09-08
OP971009.1,Alphapapillomavirus 11,GenBank,,"Happel,A.-U., Balle,C., Havyarimana,E., Brown,B., Maust,B., Konstantinus,I.N., Feng,C., Yi,B.H., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Jaspan,H.B., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2023-01-14,UC084_LW_V1,Alphapapillomavirus 11,7788,complete,South Africa,,Homo sapiens,,2016-09-08
OP971015.1,human papillomavirus 226,GenBank,,"Happel,A.-U., Balle,C., Havyarimana,E., Brown,B., Maust,B., Konstantinus,I.N., Feng,C., Yi,B.H., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Jaspan,H.B., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2023-01-14,UC084_LW_V2,human papillomavirus 226,7318,complete,South Africa,,Homo sapiens,,2016-12-21
OP971018.1,human papillomavirus 108,GenBank,,"Happel,A.-U., Balle,C., Havyarimana,E., Brown,B., Maust,B., Konstantinus,I.N., Feng,C., Yi,B.H., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Jaspan,H.B., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2023-01-14,UC091_LW_V1,Gammapapillomavirus 6,7157,complete,South Africa,,Homo sapiens,,2016-09-15
OP971023.1,human papillomavirus 89,GenBank,,"Happel,A.-U., Balle,C., Havyarimana,E., Brown,B., Maust,B., Konstantinus,I.N., Feng,C., Yi,B.H., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Jaspan,H.B., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2023-01-14,UC096_LW_V1,Alphapapillomavirus 3,8074,complete,South Africa,,Homo sapiens,,2016-10-06
OP971031.1,Alphapapillomavirus 6,GenBank,,"Happel,A.-U., Balle,C., Havyarimana,E., Brown,B., Maust,B., Konstantinus,I.N., Feng,C., Yi,B.H., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Jaspan,H.B., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2023-01-14,UC139_LW_V1,Alphapapillomavirus 6,7863,complete,South Africa,,Homo sapiens,,2017-02-27
OP971045.1,Alphapapillomavirus 3,GenBank,,"Happel,A.-U., Balle,C., Havyarimana,E., Brown,B., Maust,B., Konstantinus,I.N., Feng,C., Yi,B.H., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Jaspan,H.B., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2023-01-14,UC094_LW_V2,Alphapapillomavirus 3,7989,complete,South Africa,,Homo sapiens,,2017-02-02
OP971056.1,human papillomavirus 214,GenBank,,"Happel,A.-U., Balle,C., Havyarimana,E., Brown,B., Maust,B., Konstantinus,I.N., Feng,C., Yi,B.H., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Jaspan,H.B., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2023-01-14,UC113_LW_V2,human papillomavirus 214,7357,complete,South Africa,,Homo sapiens,,2017-03-02
OP971091.1,Alphapapillomavirus 5,GenBank,,"Happel,A.-U., Balle,C., Havyarimana,E., Brown,B., Maust,B., Konstantinus,I.N., Feng,C., Yi,B.H., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Jaspan,H.B., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2023-01-14,UC096_LW_V2,Alphapapillomavirus 5,7855,complete,South Africa,,Homo sapiens,,2017-04-20
OP971095.1,human papillomavirus 91,GenBank,,"Happel,A.-U., Balle,C., Havyarimana,E., Brown,B., Maust,B., Konstantinus,I.N., Feng,C., Yi,B.H., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Jaspan,H.B., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2023-01-14,UC113_LW_V1,Alphapapillomavirus 8,7950,complete,South Africa,,Homo sapiens,,2016-10-31
OP971101.1,human papillomavirus 215,GenBank,,"Happel,A.-U., Balle,C., Havyarimana,E., Brown,B., Maust,B., Konstantinus,I.N., Feng,C., Yi,B.H., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Jaspan,H.B., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2023-01-14,UC145_LW_V1,human papillomavirus 215,7186,complete,South Africa,,Homo sapiens,,2017-03-22
OP970967.1,human papillomavirus mSD2,GenBank,,"Happel,A.-U., Balle,C., Havyarimana,E., Brown,B., Maust,B.M., Konstantinus,I.N., Feng,C., Yi,B.H., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Jaspan,H.B., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2023-01-08,UC094_LW_V3,human papillomavirus mSD2,7299,complete,South Africa,,Homo sapiens,,2017-05-23
MN936126.1,Human respiratory circular DNA virus,GenBank,,"Iglesias-Caballero,M., Perez-Sautu,U., Wiley,M., Prieto,K., Lovett,S., Pozo,F., Romera,M.A., Millan,R., Garcia-Garcia,M.L., Calvo,C., Palacios,G., Casas,I.","National institute of heatlh ""Carlos III"", Respiratory viruses department.",Spain,2023-01-01,,Human respiratory circular DNA virus,3029,complete,Spain,,Homo sapiens,lung,
ON226770.2,Human-associated circovirus 2,GenBank,,"Li,Y., Cao,L., Ye,M., Xu,R., Chen,X., Ma,Y., Tian,R.R., Liu,F.L., Zhang,P., Kuang,Y.Q., Zheng,Y.T., Zhang,C.","Shanghai Public Health Clinical Center, Fudan University",China,2022-12-24,YN09/J030,Human-associated circovirus 2,2004,complete,China: Yunnan,,Homo sapiens,,2009
OL774852.1,Mammarenavirus juninense,GenBank,,"Ashraf,S., Love,H., Burton,C., Carmichael,S., Davis,C., Filipe,A.D., Roddy,S., Smollett,K., Summers,S., Tong,L., Richards,K.S., Thomson,E.C.","University of Glasgow, MRC Centre for Virus Research",United Kingdom,2022-12-10,,Mammarenavirus juninense,7104,complete,Argentina,,Homo sapiens,blood,1976
ON623842.1,Human associated porprismacovirus 1,GenBank,,"Villanova,F., Milagres,F.A.P., Brustulin,R., Araujo,E.L.L., Pandey,R.P., Raj,V.S., Deng,X., Delwart,E., Luchs,A., Costa,A.C.D., Leal,E., Da-Costa,A.C., Leal,E.S.","Universidade de Sao Paulo, Institute of Tropical Medicine",,2022-11-30,,Human associated porprismacovirus 1,2799,complete,Brazil,,Homo sapiens,feces,2016-04-29
ON646232.1,Enterovirus A76,GenBank,,"Sun,Q., Zhang,Y., Zhao,H.","Chinese Center for Disease Control and Prevention, Department of Poliomyelities",China,2022-11-12,,Enterovirus A,7440,complete,China: XJ,,Homo sapiens,feces,2011
OK128339.1,rhinovirus A11,GenBank,,"Zhang,Z., Tan,L., Tan,M., Zhang,X., He,W., Li,M., He,J., Pan,Y., Xu,B., Bin,S., Gan,Z., Yan,L., Sun,Y., Jiang,H., Sun,Q.","The Kunming Children's Hospital, Kunming Medical University, Institute of Pediatrics",China,2022-10-29,,Rhinovirus A,7094,complete,China,,Homo sapiens,"lung, oronasopharynx",2020-07-15
OP549858.1,Torque teno midi virus,GenBank,,"Jimoh,A., Balle,C., Brown,B., Feng,C., Havyarimana,E., Konstantinus,I.N., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Happel,A.-U., Jaspan,H.B., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2022-10-26,UC008V3_C344,Torque teno midi virus,3156,complete,South Africa,,Homo sapiens,vagina,2016-07-12
OP549861.1,Genomoviridae sp.,GenBank,,"Jimoh,A., Balle,C., Brown,B., Feng,C., Havyarimana,E., Konstantinus,I.N., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Happel,A.-U., Jaspan,H.B., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2022-10-26,UC145V1_C621,Genomoviridae sp.,2120,complete,South Africa,,Homo sapiens,,2017-03-22
OP549880.1,Bacteriophage sp.,GenBank,,"Jimoh,A., Balle,C., Brown,B., Feng,C., Havyarimana,E., Konstantinus,I.N., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Happel,A.-U., Jaspan,H.B., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2022-10-26,UC074V2_C064,Bacteriophage sp.,15800,complete,South Africa,,Homo sapiens,,2017-01-09
MZ820170.1,Human parvovirus 4,GenBank,,"Rasheed,R., Prasad,P., Pattabiraman,C., Desai,A., Ravi,V.","National Institute of Mental Health and Neurosciences, Department of Neurovirology",India,2022-10-01,NIMH/PARVO/NV10S/2018,Tetraparvovirus primate1,5266,complete,India,,Homo sapiens,blood,2018-12-31
OK397298.1,Circoviridae sp.,GenBank,,"Li,W., Tong,Y., Mao,P., He,T.","Fifth Medical Center, Chinese PLA General Hospital",China,2022-09-24,4503,Galvornvirus isengard,3016,complete,China,,Homo sapiens,lung,2017
MW888848.1,Aura virus,GenBank,,"Khoroshavin,Y.A., Mikryukova,T.P., Protopopova,E.V., Ternovoi,V.A., Shvalov,A.N., Tregubchak,T.A.T.V., Loktev,V.B.","State Research Center of Virology and Biotechnology ""VECTOR"", Department of Molecular Virology of Flaviviruses and Hepatitis",Russia,2022-09-04,,Alphavirus aura,11847,complete,Brazil,,Homo sapiens,,1965
ON616517.1,Porprismacovirus SmaCV3BR291,GenBank,,"Villanova,F., Milagres,F.A.P., Brustulin,R., Araujo,E.L.L., Pandey,R.P., Raj,V.S., Deng,X., Delwart,E., Luchs,A., Costa,A.C.D., Leal,E., da-Costa,A.C.","Universidade de Sao Paulo, Institute of Tropical Medicine",,2022-08-21,SmaCV3BR291,Porprismacovirus SmaCV3BR291,2937,complete,Brazil,,Homo sapiens,feces,2013-10-10
OM101125.1,Langya virus,GenBank,,"Zhang,X.A., Li,H., Jiang,F.C., Zhu,F., Zhang,Y.F., Chen,J.J., Tan,C.W., Anderson,D.E., Fan,H., Dong,L.Y., Li,C., Zhang,P.H., Li,Y., Ding,H., Fang,L.Q., Wang,L.F., Liu,W., Zhang,X.-A., Zhang,Y.-F., Chen,J.-J., Fang,L.-Q.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2022-08-11,SDQD_H1801,Parahenipavirus langyaense,18402,complete,China,,Homo sapiens,,2018
OL555724.1,Cache Valley virus,GenBank,,"Al-Heeti,O., Wu,E.L., Ison,M.G., Saluja,R.K., Ramsey,G., Matkovic,E., Ha,K., Hall,S., Banach,B., Wilson,M.R., Miller,S., Chiu,C.Y., McCabe,M., Bari,C., Zimler,R.A., Babiker,H., Freeman,D., Popovitch,J., Annambhotla,P., Lehman,J.A., Fitzpatrick,K., Velez,J.O., Davis,E.H., Hughes,H.R., Panella,A., Brault,A., Erin Staples,J., Gould,C.V., Tanna,S., Brault,A.C., Gould,Cv., Staples,E.","Centers for Disease Control and Prevention, Division of Vector-borne Diseases",USA,2022-08-08,R132738d,Orthobunyavirus cacheense,6871,complete,USA: Illinois,IL,Homo sapiens,cerebrospinal fluid,2021
ON595759.1,Onyong-nyong virus,GenBank,,"Ledermann,J.P., Kayiwa,J.T., Perinet,L.C., Apangu,T., Acayo,S., Lutwama,J.J., Powers,A.M., Mossel,E.C.","Centers for Disease Control and Prevention, Arbovirus Disease Branch",USA,2022-08-02,UVRI0804,Onyong-nyong virus,11807,complete,Uganda,,Homo sapiens,,2017-06
LC720410.1,rhinovirus A73,GenBank,,"Shirato,K., Kume,Y., Suwa,R., Kawase,M., Ono,T., Chishiki,M., Okabe,H., Norito,S., Sato,M., Sakuma,H., Suzuki,S., Hosoya,M., Takeda,M., Hashimoto,K.","Virology III; 4-7-1 Gakuen, Musashimurayama, Tokyo 208-0011",Japan,2022-07-30,HRV_A73_Fukushima_H739_2019,Rhinovirus A,7202,complete,Japan: Fukushima,,Homo sapiens,,2019
LC720413.1,rhinovirus A40,GenBank,,"Shirato,K., Kume,Y., Suwa,R., Kawase,M., Ono,T., Chishiki,M., Okabe,H., Norito,S., Sato,M., Sakuma,H., Suzuki,S., Hosoya,M., Takeda,M., Hashimoto,K.","Virology III; 4-7-1 Gakuen, Musashimurayama, Tokyo 208-0011",Japan,2022-07-30,HRV_A40_Fukushima_OR7_2020,Rhinovirus A,7159,complete,Japan: Fukushima,,Homo sapiens,,2020
LC720414.1,rhinovirus C6,GenBank,,"Shirato,K., Kume,Y., Suwa,R., Kawase,M., Ono,T., Chishiki,M., Okabe,H., Norito,S., Sato,M., Sakuma,H., Suzuki,S., Hosoya,M., Takeda,M., Hashimoto,K.","Virology III; 4-7-1 Gakuen, Musashimurayama, Tokyo 208-0011",Japan,2022-07-30,HRV_C6_Fukushima_C6_2021,Rhinovirus C,7149,complete,Japan: Fukushima,,Homo sapiens,,2021
LC720415.1,rhinovirus C55,GenBank,,"Shirato,K., Kume,Y., Suwa,R., Kawase,M., Ono,T., Chishiki,M., Okabe,H., Norito,S., Sato,M., Sakuma,H., Suzuki,S., Hosoya,M., Takeda,M., Hashimoto,K.","Virology III; 4-7-1 Gakuen, Musashimurayama, Tokyo 208-0011",Japan,2022-07-30,HRV_C55_Fukushima_C463_2020,Rhinovirus C,7067,complete,Japan: Fukushima,,Homo sapiens,,2021
LC720864.1,Orthorubulavirus laryngotracheitidis,GenBank,,"Sugimoto,S., Kawase,M., Suwa,R., Kakizaki,M., Kume,Y., Chishiki,M., Ono,T., Okabe,H., Norito,S., Hosoya,M., Hashimoto,K., Shirato,K., Sato,M., Sakuma,H., Suzuki,S., Takeda,M.","Virology III; 4-7-1 Gakuen, Musashimurayama, Tokyo 208-0011",Japan,2022-07-30,PIV2_Fukushima_O13_2018,Orthorubulavirus laryngotracheitidis,15653,complete,Japan: Fukushima,,Homo sapiens,,2018
ON729328.1,rhinovirus A103,GenBank,,"Sereewit,J., Xie,H., Greninger,A.","UW Virology, Laboratory Medicine",,2022-07-20,,Rhinovirus A,7137,complete,USA,,Homo sapiens,,2017
ON729329.1,rhinovirus A60,GenBank,,"Sereewit,J., Xie,H., Greninger,A.","UW Virology, Laboratory Medicine",,2022-07-20,,Rhinovirus A,7076,complete,USA,,Homo sapiens,,2017
ON729330.1,rhinovirus A94,GenBank,,"Sereewit,J., Xie,H., Greninger,A.","UW Virology, Laboratory Medicine",,2022-07-20,,Rhinovirus A,7022,complete,USA,,Homo sapiens,,2017
ON729333.1,rhinovirus A21,GenBank,,"Sereewit,J., Xie,H., Greninger,A.","UW Virology, Laboratory Medicine",,2022-07-20,,Rhinovirus A,7023,complete,USA,,Homo sapiens,,2017
